date,series,value
2014-02-27,TP.DK.EUR.A,3.0326
2014-02-28,TP.DK.EUR.A,3.0508
2014-03-01,TP.DK.EUR.A,
2014-03-02,TP.DK.EUR.A,
2014-03-03,TP.DK.EUR.A,3.0477
2014-03-04,TP.DK.EUR.A,3.0556
2014-03-05,TP.DK.EUR.A,3.044
2014-03-06,TP.DK.EUR.A,3.0298
2014-03-07,TP.DK.EUR.A,3.0225
2014-03-08,TP.DK.EUR.A,
2014-03-09,TP.DK.EUR.A,
2014-03-10,TP.DK.EUR.A,3.0381
2014-03-11,TP.DK.EUR.A,3.07
2014-03-12,TP.DK.EUR.A,3.0781
2014-03-13,TP.DK.EUR.A,3.1153
2014-03-14,TP.DK.EUR.A,3.1037
2014-03-15,TP.DK.EUR.A,
2014-03-16,TP.DK.EUR.A,
2014-03-17,TP.DK.EUR.A,3.0993
2014-03-18,TP.DK.EUR.A,3.0872
2014-03-19,TP.DK.EUR.A,3.0916
2014-03-20,TP.DK.EUR.A,3.0919
2014-03-21,TP.DK.EUR.A,3.0842
2014-03-22,TP.DK.EUR.A,
2014-03-23,TP.DK.EUR.A,
2014-03-24,TP.DK.EUR.A,3.0824
2014-03-25,TP.DK.EUR.A,3.0823
2014-03-26,TP.DK.EUR.A,3.0831
2014-03-27,TP.DK.EUR.A,3.0524
2014-03-28,TP.DK.EUR.A,3.0148
2014-03-29,TP.DK.EUR.A,
2014-03-30,TP.DK.EUR.A,
2014-03-31,TP.DK.EUR.A,3.0072
2014-04-01,TP.DK.EUR.A,2.9699
2014-04-02,TP.DK.EUR.A,2.9643
2014-04-03,TP.DK.EUR.A,2.9392
2014-04-04,TP.DK.EUR.A,2.939
2014-04-05,TP.DK.EUR.A,
2014-04-06,TP.DK.EUR.A,
2014-04-07,TP.DK.EUR.A,2.9264
2014-04-08,TP.DK.EUR.A,2.9068
2014-04-09,TP.DK.EUR.A,2.8838
2014-04-10,TP.DK.EUR.A,2.9036
2014-04-11,TP.DK.EUR.A,2.9105
2014-04-12,TP.DK.EUR.A,
2014-04-13,TP.DK.EUR.A,
2014-04-14,TP.DK.EUR.A,2.9406
2014-04-15,TP.DK.EUR.A,2.9419
2014-04-16,TP.DK.EUR.A,2.9342
2014-04-17,TP.DK.EUR.A,2.9507
2014-04-18,TP.DK.EUR.A,2.9505
2014-04-19,TP.DK.EUR.A,
2014-04-20,TP.DK.EUR.A,
2014-04-21,TP.DK.EUR.A,2.9411
2014-04-22,TP.DK.EUR.A,2.9481
2014-04-23,TP.DK.EUR.A,
2014-04-24,TP.DK.EUR.A,2.9516
2014-04-25,TP.DK.EUR.A,2.9568
2014-04-26,TP.DK.EUR.A,
2014-04-27,TP.DK.EUR.A,
2014-04-28,TP.DK.EUR.A,2.9533
2014-04-29,TP.DK.EUR.A,2.9558
2014-04-30,TP.DK.EUR.A,2.935
2014-05-01,TP.DK.EUR.A,
2014-05-02,TP.DK.EUR.A,2.9252
2014-05-03,TP.DK.EUR.A,
2014-05-04,TP.DK.EUR.A,
2014-05-05,TP.DK.EUR.A,2.9194
2014-05-06,TP.DK.EUR.A,2.9087
2014-05-07,TP.DK.EUR.A,2.9153
2014-05-08,TP.DK.EUR.A,2.9137
2014-05-09,TP.DK.EUR.A,2.8917
2014-05-10,TP.DK.EUR.A,
2014-05-11,TP.DK.EUR.A,
2014-05-12,TP.DK.EUR.A,2.8671
2014-05-13,TP.DK.EUR.A,2.8573
2014-05-14,TP.DK.EUR.A,2.8451
2014-05-15,TP.DK.EUR.A,2.8409
2014-05-16,TP.DK.EUR.A,2.8387
2014-05-17,TP.DK.EUR.A,
2014-05-18,TP.DK.EUR.A,
2014-05-19,TP.DK.EUR.A,
2014-05-20,TP.DK.EUR.A,2.8761
2014-05-21,TP.DK.EUR.A,2.8826
2014-05-22,TP.DK.EUR.A,2.8869
2014-05-23,TP.DK.EUR.A,2.8607
2014-05-24,TP.DK.EUR.A,
2014-05-25,TP.DK.EUR.A,
2014-05-26,TP.DK.EUR.A,2.841
2014-05-27,TP.DK.EUR.A,2.8435
2014-05-28,TP.DK.EUR.A,2.8621
2014-05-29,TP.DK.EUR.A,2.866
2014-05-30,TP.DK.EUR.A,2.8476
2014-05-31,TP.DK.EUR.A,
2014-06-01,TP.DK.EUR.A,
2014-06-02,TP.DK.EUR.A,2.8471
2014-06-03,TP.DK.EUR.A,2.8521
2014-06-04,TP.DK.EUR.A,2.861
2014-06-05,TP.DK.EUR.A,2.8862
2014-06-06,TP.DK.EUR.A,2.8682
2014-06-07,TP.DK.EUR.A,
2014-06-08,TP.DK.EUR.A,
2014-06-09,TP.DK.EUR.A,2.8498
2014-06-10,TP.DK.EUR.A,2.8319
2014-06-11,TP.DK.EUR.A,2.8296
2014-06-12,TP.DK.EUR.A,2.8318
2014-06-13,TP.DK.EUR.A,2.8486
2014-06-14,TP.DK.EUR.A,
2014-06-15,TP.DK.EUR.A,
2014-06-16,TP.DK.EUR.A,2.8741
2014-06-17,TP.DK.EUR.A,2.8923
2014-06-18,TP.DK.EUR.A,2.8953
2014-06-19,TP.DK.EUR.A,2.9066
2014-06-20,TP.DK.EUR.A,2.8985
2014-06-21,TP.DK.EUR.A,
2014-06-22,TP.DK.EUR.A,
2014-06-23,TP.DK.EUR.A,2.9069
2014-06-24,TP.DK.EUR.A,2.907
2014-06-25,TP.DK.EUR.A,2.9024
2014-06-26,TP.DK.EUR.A,2.9104
2014-06-27,TP.DK.EUR.A,2.8992
2014-06-28,TP.DK.EUR.A,
2014-06-29,TP.DK.EUR.A,
2014-06-30,TP.DK.EUR.A,2.8919
2014-07-01,TP.DK.EUR.A,2.8979
2014-07-02,TP.DK.EUR.A,2.9011
2014-07-03,TP.DK.EUR.A,2.9066
2014-07-04,TP.DK.EUR.A,2.91
2014-07-05,TP.DK.EUR.A,
2014-07-06,TP.DK.EUR.A,
2014-07-07,TP.DK.EUR.A,2.8927
2014-07-08,TP.DK.EUR.A,2.8975
2014-07-09,TP.DK.EUR.A,2.8893
2014-07-10,TP.DK.EUR.A,2.8907
2014-07-11,TP.DK.EUR.A,2.8929
2014-07-12,TP.DK.EUR.A,
2014-07-13,TP.DK.EUR.A,
2014-07-14,TP.DK.EUR.A,2.8881
2014-07-15,TP.DK.EUR.A,2.8861
2014-07-16,TP.DK.EUR.A,2.8853
2014-07-17,TP.DK.EUR.A,2.8745
2014-07-18,TP.DK.EUR.A,2.8715
2014-07-19,TP.DK.EUR.A,
2014-07-20,TP.DK.EUR.A,
2014-07-21,TP.DK.EUR.A,2.8768
2014-07-22,TP.DK.EUR.A,2.8636
2014-07-23,TP.DK.EUR.A,2.8572
2014-07-24,TP.DK.EUR.A,2.8172
2014-07-25,TP.DK.EUR.A,2.816
2014-07-26,TP.DK.EUR.A,
2014-07-27,TP.DK.EUR.A,
2014-07-28,TP.DK.EUR.A,
2014-07-29,TP.DK.EUR.A,
2014-07-30,TP.DK.EUR.A,
2014-07-31,TP.DK.EUR.A,2.8135
2014-08-01,TP.DK.EUR.A,2.856
2014-08-02,TP.DK.EUR.A,
2014-08-03,TP.DK.EUR.A,
2014-08-04,TP.DK.EUR.A,2.8719
2014-08-05,TP.DK.EUR.A,2.8608
2014-08-06,TP.DK.EUR.A,2.8485
2014-08-07,TP.DK.EUR.A,2.8872
2014-08-08,TP.DK.EUR.A,2.8871
2014-08-09,TP.DK.EUR.A,
2014-08-10,TP.DK.EUR.A,
2014-08-11,TP.DK.EUR.A,2.9036
2014-08-12,TP.DK.EUR.A,2.8779
2014-08-13,TP.DK.EUR.A,2.8856
2014-08-14,TP.DK.EUR.A,2.8837
2014-08-15,TP.DK.EUR.A,2.8831
2014-08-16,TP.DK.EUR.A,
2014-08-17,TP.DK.EUR.A,
2014-08-18,TP.DK.EUR.A,2.8856
2014-08-19,TP.DK.EUR.A,2.903
2014-08-20,TP.DK.EUR.A,2.8881
2014-08-21,TP.DK.EUR.A,2.8813
2014-08-22,TP.DK.EUR.A,2.8871
2014-08-23,TP.DK.EUR.A,
2014-08-24,TP.DK.EUR.A,
2014-08-25,TP.DK.EUR.A,2.8896
2014-08-26,TP.DK.EUR.A,2.874
2014-08-27,TP.DK.EUR.A,2.8623
2014-08-28,TP.DK.EUR.A,2.8448
2014-08-29,TP.DK.EUR.A,2.8528
2014-08-30,TP.DK.EUR.A,
2014-08-31,TP.DK.EUR.A,
2014-09-01,TP.DK.EUR.A,2.8451
2014-09-02,TP.DK.EUR.A,2.8381
2014-09-03,TP.DK.EUR.A,2.8435
2014-09-04,TP.DK.EUR.A,2.8418
2014-09-05,TP.DK.EUR.A,2.83
2014-09-06,TP.DK.EUR.A,
2014-09-07,TP.DK.EUR.A,
2014-09-08,TP.DK.EUR.A,2.802
